식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,대두_땅콩_여부,알레르기_권고,유제품여부,탄닌가능성,쿠마린여부,쿠마린_권고,카페인여부,알코올_유무
D105-216290000-0001,된장국_쑥,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521629,쑥,52162900,해당없음,0,해당없음,100g,15,95.8,1.22,0.47,0.96,1.52,0.73,0.8,10.0,0.21,25.0,148.0,243.0,20.0,0.0,238.0,0.095,0.06,1.72,0.16,0.0,0.21,0.06,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216300000-0001,된장국_아욱,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521630,아욱,52163000,해당없음,0,해당없음,100g,20,94.4,2.28,0.56,1.18,1.59,0.11,1.2,114.0,0.89,37.0,122.0,236.0,19.0,0.0,226.0,0.0,0.43,0.0,0.18,0.0,10.22,0.08,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216310000-0001,된장국_얼갈이배추,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521631,얼갈이배추,52163100,해당없음,0,해당없음,100g,9,97.3,0.5,0.41,0.96,0.85,0.06,0.5,26.0,0.28,13.0,136.0,195.0,19.0,0.0,231.0,0.0,0.083,0.14,0.3,0.0,0.0,0.02,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216330000-0001,된장국_우거지,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521633,우거지,52163300,해당없음,0,해당없음,100g,20,94.9,2.77,0.59,0.92,0.82,0.63,0.8,14.0,0.35,32.0,84.0,291.0,0.0,0.0,4.0,0.665,0.05,0.718,0.0,0.0,7.11,0.13,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2015-06-30,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216370000-0001,된장국_콩나물,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521637,콩나물,52163700,해당없음,0,해당없음,100g,31,92.4,2.58,1.11,1.3,2.62,0.53,1.0,20.0,0.51,43.0,132.0,365.0,2.0,0.0,24.0,0.0,0.073,1.345,0.0,0.0,0.0,0.1,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216390000-0001,된장국_해물,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521639,해물,52163900,해당없음,0,해당없음,100g,28,92.9,2.1,0.98,1.38,2.68,0.45,1.0,28.0,0.6,43.0,140.0,384.0,6.0,0.0,76.0,0.418,0.053,1.813,1.54,0.0,11.38,0.13,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216400000-0001,된장국_호박,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521640,호박,52164000,해당없음,0,해당없음,100g,31,92.4,3.34,1.31,1.51,1.41,0.49,0.9,19.0,0.33,74.0,146.0,452.0,4.0,0.0,46.0,0.0,0.02,1.48,0.0,0.0,0.0,0.15,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216410000-0001,된장국_호박잎,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521641,호박잎,52164100,해당없음,0,해당없음,100g,7,98.2,0.4,0.32,0.52,0.54,0.07,0.2,8.0,0.23,10.0,34.0,163.0,12.0,0.0,139.0,0.143,0.011,0.0,0.0,0.0,0.0,0.02,0.0,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D106-260000000-0001,감자탕,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6260,감자탕,626000,해당없음,62600000,해당없음,0,해당없음,100g,71,86.2,6.31,4.06,1.18,2.27,0.0,2.4,38.0,1.06,43.0,98.0,328.0,33.0,1.0,381.0,0.164,0.009,7.585,2.35,0.0,38.53,1.16,0.01,3,식품의약품안전처,530g,해당없음,1,분석,2018-12-31,2025-04-08,False,,False,True,False,,False,False
D106-275000000-0001,된장찌개,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6275,된장찌개,627500,해당없음,62750000,해당없음,0,해당없음,100g,46,89.3,3.38,1.63,1.28,4.44,0.0,1.6,21.0,0.7,55.0,151.0,318.0,5.0,0.0,60.0,0.49,0.03,0.0,0.0,0.0,0.0,0.27,0.0,3,식품의약품안전처,200g,해당없음,1,분석,2018-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
